"Nome","CNPJ","Razao","Rede","Cluster","Estado","Cidade","Bairro","Endereco","Numero","Complemento","Pontos",,,,,,,
"Atacadao Dos Eletrodomesticos Do - Caruaru Shopping - LOJA",7,10000000000000,"Caruaru Shopping","Atacadao Dos Eletrodomesticos Do","C","PE","Caruaru","Indianopolis ","Av. Adjar Da Silva Case"," 800 Loja 20"," Indian�polis - Caruaru - Pe Cep: 55024-740"," -"," -"," -",,,,
"Atacadao Dos Eletrodomesticos Do - Maceio Shopping - LOJA",7,10000000000000,"Maceio Shopping","Atacadao Dos Eletrodomesticos Do","C","AL","Macei� ","Mangabeiras ","Av Comendador Gustavo Paiva",2990," Loja 296"," Bairo Mangabeiras - Maceio/Alagoas (57032-901)"," -"," -"," -",,,
"Atacadao Dos Eletrodomesticos Do - Mangabeiras - LOJA",7,10000000000000,"Mangabeiras","Atacadao Dos Eletrodomesticos Do","C","PB","Jo�o Pessoa","MANGABEIRA�","AV HILTON SOUTOMAIOR","3901 LOJA P1083/1109 TERREO "," -"," -"," -",,,,,
"Atacadao Dos Eletrodomesticos Do - Natal Shopping - LOJA",7,10000000000000,"Natal Shopping","Atacadao Dos Eletrodomesticos Do","C","RN","Natal","Candelria ","Av Senador Salgado Filho"," 2234 - Loja 384"," Piso L2 - 59064-900 Candelria Natal Rn"," -"," -"," -",,,,
"Atacadao Dos Eletrodomesticos Do - Partage Shopping Mossor� - KIOSQUE",7,10000000000000,"Partage Shopping Mossor�","Atacadao Dos Eletrodomesticos Do","C","RN","Mossor�","Nova Betania ","Av. Jo�o Da Escossia "," N� 1515"," West Shopping Mossor�"," T�rreo"," Bairro: Nova Bet�nia Cep. 59067-330"," -"," -"," -",,
"Atacadao Dos Eletrodomesticos Do - Patio Arapiraca Garden Shopping - LOJA",7,10000000000000,"Patio Arapiraca Garden Shopping","Atacadao Dos Eletrodomesticos Do","C","AL","Arapiraca","Santa Edwings","R Jose Leite Bezerra"," S/N Loja 264 "," -"," -"," -",,,,,
"Atacadao Dos Eletrodomesticos Do - Shopping P�tio Macei� - KIOSQUE",7,10000000000000,"Shopping P�tio Macei�","Atacadao Dos Eletrodomesticos Do","C","AL","Macei�","Cidade Universit�ria","Avenida Menino Marcelo"," n� 3800 � ponto Q-018"," -"," -"," -",,,,,
"B&F Telecomunica��es Ltda - Boulevard Shopping Campos - LOJA",4,91000000000000,"Boulevard Shopping Campos","B&F Telecomunica��es Ltda","B","RJ","Campos dos Goytacazes","Parque Dos Rodoviarios","Av Doutor Silvio Bastos Tavares, 330 Loja 104 I/J Boulevard Shopping Campos 
"," -"," -"," -",,,,,,
"B&F Telecomunica��es Ltda - Capim Dourado Shopping - LOJA",4,91000000000000,"Capim Dourado Shopping","B&F Telecomunica��es Ltda","A","TO","Palmas","Plano Diretor Norte ","107 Norte"," Ns 05 Com Av. Jk - Palmas / To - Cep: 77001-080"," -"," -"," -",,,,,
"B&F Telecomunica��es Ltda - Imperial - LOJA",4,91000000000000,"Imperial","B&F Telecomunica��es Ltda","B","MA","Imperatriz","Entroncamento ","Rod Br-010, 100, : 12 Piso Imperial Shopping; Cep: 65913-460; Entroncamento; Imperatriz (Ma)"," -"," -"," -",,,,,,
"B&F Telecomunica��es Ltda - North Shopping Fortaleza - KIOSQUE",4,91000000000000,"North Shopping Fortaleza","B&F Telecomunica��es Ltda","C","CE","Fortaleza","Sao Geraldo ","Av Bezerra De Menezes"," 2450 - Q1 13 - Cep: 60325-002 - Sao Geraldo Fortaleza (Ce)"," -"," -"," -",,,,,
"B&F Telecomunica��es Ltda - North Shopping Fortaleza 2 - LOJA",4,91000000000000,"North Shopping Fortaleza 2","B&F Telecomunica��es Ltda","C","CE","Fortaleza","S�o Geraldo�","Av Bezerra De Menezes","2450 Loja 442/443"," -"," -"," -",,,,,
"B&F Telecomunica��es Ltda - North Shopping Maracanau - LOJA",4,91000000000000,"North Shopping Maracanau","B&F Telecomunica��es Ltda","C","CE","Maracanau ","Centro ","Av. Senador Carlos Jereissati"," N 100","  Centro - Maracanau - Ce - Quiosque 31. "," -"," -"," -",,,,
"B&F Telecomunica��es Ltda - North Shopping Sobral - KIOSQUE",4,91000000000000,"North Shopping Sobral","B&F Telecomunica��es Ltda","C","CE","Sobral","Dom Expedito","Av. Monsenhor Alo�sio Pinto"," 300 (QUIOSQUE 05 - TERREO) - Dom Expedito"," Sobral - CE"," -"," -"," -",,,,
"B&F Telecomunica��es Ltda - Partage Shopping S�o Gon�alo - LOJA",4,91000000000000,"Partage Shopping S�o Gon�alo","B&F Telecomunica��es Ltda","B","RJ","S�o Gon�alo","Centro","Avn Presidente Kennedy","425 Sala Comercial 155 Piso L1"," -"," -"," -",,,,,
"B&F Telecomunica��es Ltda - Patio Mix Teixeira de Freitas - LOJA",4,91000000000000,"Patio Mix Teixeira de Freitas","B&F Telecomunica��es Ltda","C","BA","Teixeira de Freitas","Fazenda Imperial","Av. S�o Paulo"," N�2575  Loja 1075 Shopping Patio Mix - Bairro Vila Verde "," -"," -"," -",,,,,
"B&F Telecomunica��es Ltda - S�o Gon�alo Shopping - LOJA",4,91000000000000,"S�o Gon�alo Shopping","B&F Telecomunica��es Ltda","B","RJ","S�o Gon�alo","Boa Vista ","Avn Sao Goncalo","100 Ljs 213/214 A Piso L2 S.G.Shopping Boa Vista S�o Gon�alo- "," -"," -"," -",,,,,
"B&F Telecomunica��es Ltda - S�o Luis Shopping - LOJA",4,91000000000000,"S�o Luis Shopping","B&F Telecomunica��es Ltda","B","MA","S�o Luis","Jaracaty ","Av. Professor Carlos Cunha"," 1.000 Loja 204 Lee S�o Luis - Ma Cep: 65076-907 "," -"," -"," -",,,,,
"B&F Telecomunica��es Ltda - Shopping Campo Limpo - LOJA",4,91000000000000,"Shopping Campo Limpo","B&F Telecomunica��es Ltda","C","SP","S�o Paulo","Vila Prel ","Est Do Campo Limpo"," 459 loja 361"," -"," -"," -",,,,,
"B&F Telecomunica��es Ltda - Shopping Conquista Sul - LOJA",4,91000000000000,"Shopping Conquista Sul","B&F Telecomunica��es Ltda","B","BA","Vit�ria da Conquista","Boa Vista ","Av. Juracy Magalhaes"," 3340 Bairro Boa Vista Municipio Vitoria Da Conquista Loja 47 E 48 Cep 45026-090"," -"," -"," -",,,,,
"B&F Telecomunica��es Ltda - Shopping da Ilha - LOJA",4,91000000000000,"Shopping da Ilha","B&F Telecomunica��es Ltda","A","MA","S�o Luis","Cohama ","Av Daniel De La Touche, 987 - Loja: 213 D/E/F/M/N; Cep: 65074-115 - Cohama - S�o Luis - Ma"," -"," -"," -",,,,,,
"B&F Telecomunica��es Ltda - Shopping Del Paseo - KIOSQUE",4,91000000000000,"Shopping Del Paseo","B&F Telecomunica��es Ltda","C","CE","Fortaleza","Aldeota ","Av Santos Dumont"," 3131 Shopping Del Paseo Hall L2"," -"," -"," -",,,,,
"B&F Telecomunica��es Ltda - Shopping Granja Viana - LOJA",4,91000000000000,"Shopping Granja Viana","B&F Telecomunica��es Ltda","B","SP","Cotia","Granja Viana ","Endere�o : Rod Raposo Tavares"," 400 � Luc 367 Piso L2 Shop Granja Vianna � Cep 06707-000 � Cotia / Sp"," -"," -"," -",,,,,
"B&F Telecomunica��es Ltda - Shopping Jequitiba - LOJA",4,91000000000000,"Shopping Jequitiba","B&F Telecomunica��es Ltda","B","BA","Itabuna","Jardim Vitoria ","Av Aziz Maron, S/N Loja Lah26A 
"," -"," -"," -",,,,,,
"B&F Telecomunica��es Ltda - Shopping Metropolitano Barra - LOJA",4,91000000000000,"Shopping Metropolitano Barra","B&F Telecomunica��es Ltda","C","RJ","Rio de Janeiro","Jacarepagua ","Av Ns Paa 10292 Pal 38883","135 Piso L1 Loja 1057"," -"," -"," -",,,,,
"B&F Telecomunica��es Ltda - Shopping Palmas - KIOSQUE",4,91000000000000,"Shopping Palmas","B&F Telecomunica��es Ltda","C","TO","Palmas","Plano Diretor Sul ","Q 101 Sul Nsa"," Conj 02"," Lote 10"," Q 07"," Palmas Shopping"," S/N Cep: 77015-972 Plano Diretor Sul Palmas (To)"," -"," -"," -",
"B&F Telecomunica��es Ltda - Shopping Plaza Macae - LOJA",4,91000000000000,"Shopping Plaza Macae","B&F Telecomunica��es Ltda","B","RJ","Maca�","Granja dos Cavaleiros","Av Aloisio da Silva Gomes"," 800 loja 104"," -"," -"," -",,,,,
"B&F Telecomunica��es Ltda - Shopping Rio Anil - LOJA",4,91000000000000,"Shopping Rio Anil","B&F Telecomunica��es Ltda","B","MA","S�o Luis","Turu ","Av Sao Luis Rei De Franca"," 08 Loja: 1048 Cep: 65065-470 Turu S�o Luis (Ma)"," -"," -"," -",,,,,
"B&F Telecomunica��es Ltda - Shopping Taubat�  - KIOSQUE",4,91000000000000,"Shopping Taubat� ","B&F Telecomunica��es Ltda","C","SP ","Taubate ","Vila Costa","Avenida Charles Schnneider - QUIOSQUE 17"," -"," -"," -",,,,,,
"B&F Telecomunica��es Ltda - Shopping Tocantins - KIOSQUE",4,91000000000000,"Shopping Tocantins","B&F Telecomunica��es Ltda","C","MA","Imperatriz","Centro ","R Piaui, 580,  1 Piso; Quiosq: Q12; : Tocantins Shopping; : Center; Cep: 65901-600, Centro, Imperatriz - Ma"," -"," -"," -",,,,,,
"B&F Telecomunica��es Ltda - Via Parque Shopping - KIOSQUE",4,91000000000000,"Via Parque Shopping","B&F Telecomunica��es Ltda","C","RJ ","Rio de Janeiro","Barra da Tijuca","AVENIDA AYRTON SENNA 3000 KSK 25 "," -"," -"," -",,,,,,
"B&F Telecomunica��es Ltda - Via Vale Garden Shopping - LOJA",4,91000000000000,"Via Vale Garden Shopping","B&F Telecomunica��es Ltda","B","SP","Taubate ","Jardim Baronesa ","Avenida Dom Pedro I"," 7181 Loja 20 - Piso L1 - Via Vale Garden Shopping Jardim Baronesa Cep 12091-000 Taubate"," -"," -"," -",,,,,
"C I L Comercio De Informatica Ltda (Nagem) - Guararapes - LOJA",2,410000000000000,"Guararapes","C I L Comercio De Informatica Ltda (Nagem)","B","PE","Jaboat�o dos Guararapes","Piedade","AV BARRETO DE MENEZES"," 800 SUC 237"," -"," -"," -",,,,,
"C I L Comercio De Informatica Ltda (Nagem) - Iguatemi Fortaleza - LOJA",2,410000000000000,"Iguatemi Fortaleza","C I L Comercio De Informatica Ltda (Nagem)","B","CE","Fortaleza","Edson Queiroz ","Av. Washington Soares"," 85 - �gua Fria - Fortaleza - (Loja 603)"," -"," -"," -",,,,,
"C I L Comercio De Informatica Ltda (Nagem) - Manaira Shopping - LOJA",2,410000000000000,"Manaira Shopping","C I L Comercio De Informatica Ltda (Nagem)","B","PB","Jo�o Pessoa","Loteamento Parque Verde ","Av Governador Flavio Ribeiro Coutinho"," 220  - Loja T0401 Piso Terreo - Cep: 58310-000 - Loteamento Parque Verde - Cabedelo (Pb)"," -"," -"," -",,,,,
"C I L Comercio De Informatica Ltda (Nagem) - Midway Mall - LOJA",2,410000000000000,"Midway Mall","C I L Comercio De Informatica Ltda (Nagem)","B","RN","Natal","Tirol","Av Bernardo Vieira"," 3775 - Loja 372 E 372A Piso L3 Shopping Midway Mall - Cep: 59015-900 - Tirol - Natal (Rn)"," -"," -"," -",,,,,
"C I L Comercio De Informatica Ltda (Nagem) - Osasco Plaza Shopping - LOJA",2,410000000000000,"Osasco Plaza Shopping","C I L Comercio De Informatica Ltda (Nagem)","C","SP","Osasco","Centro ","R Tenente Avelar Pires De Azevedo"," 81 Loja 158/9 "," -"," -"," -",,,,,
"C I L Comercio De Informatica Ltda (Nagem) - Plaza Casa Forte - LOJA",2,410000000000000,"Plaza Casa Forte","C I L Comercio De Informatica Ltda (Nagem)","C","PE","Recife","Casa Forte","Rua Doutor Jo�o Santos Filho"," 255 - Piso L3 - Espa�o comercial 156/157"," -"," -"," -",,,,,
"C I L Comercio De Informatica Ltda (Nagem) - S�o Bernardo Plaza Shopping - LOJA",2,410000000000000,"S�o Bernardo Plaza Shopping","C I L Comercio De Informatica Ltda (Nagem)","C","SP","S�o Bernardo","Centro ","Av. Rotary"," 624 -Loja 2776 Piso L2 "," -"," -"," -",,,,,
"C I L Comercio De Informatica Ltda (Nagem) - Shopping Aricanduva - LOJA",2,410000000000000,"Shopping Aricanduva","C I L Comercio De Informatica Ltda (Nagem)","B","SP","S�o Paulo","Jardim Aricanduva","Av Aricanduva",5555," Jardim Aricanduva - S�o Paulo/SP (CEP 03527-009) Loja 238"," -"," -"," -",,,,
"C I L Comercio De Informatica Ltda (Nagem) - Shopping Ibirapuera - LOJA",2,410000000000000,"Shopping Ibirapuera","C I L Comercio De Informatica Ltda (Nagem)","B","SP","S�o Paulo","Indianapolis ","Av Ibirapuera"," 3103 - Suc 61 Piso Campo Belo Shopping Center Ibirapuera Cep: 04029-902 Indianapolis - Sao Paulo - Sp"," -"," -"," -",,,,,
"C I L Comercio De Informatica Ltda (Nagem) - Shopping Interlagos - LOJA",2,410000000000000,"Shopping Interlagos","C I L Comercio De Informatica Ltda (Nagem)","B","SP","S�o Paulo","Jardim Umuarama ","Av Interlagos",2255," Arco 259/260"," Bairo Jardim Umuarama - Sao Paulo/Sp (04661-903)"," -"," -"," -",,,
"C I L Comercio De Informatica Ltda (Nagem) - Shopping Internacional de Guarulhos - LOJA",2,410000000000000,"Shopping Internacional de Guarulhos","C I L Comercio De Informatica Ltda (Nagem)","B","SP","Guarulhos","Itapegica ","R Engenheiro Camilo Olivetti 295 Loja L04 E L05 Piso Superior Inter Shop Guarulhos Cep: 07042-040 Itapegica - Guarulhos"," -"," -"," -",,,,,,
"C I L Comercio De Informatica Ltda (Nagem) - Shopping Jardim Sul - LOJA",2,410000000000000,"Shopping Jardim Sul","C I L Comercio De Informatica Ltda (Nagem)","B","SP","S�o Paulo","Morumbi ","Av. Giovanni Gronchi"," 5819 - Loja 417"," 418 E 419 Piso 2 Shopping Jardim Sul - Morumbi"," S�o Paulo"," Cep: 05724-020"," -"," -"," -",,
"C I L Comercio De Informatica Ltda (Nagem) - Shopping Jardins - KIOSQUE",2,410000000000000,"Shopping Jardins","C I L Comercio De Informatica Ltda (Nagem)","C","SE","Aracaju","Jardins ","Av Ministro Geraldo Barreto Sobral"," 215 - Quiosq: 24 - Cep: 49026-010 - Jardins - Aracaju(Se)"," -"," -"," -",,,,,
"C I L Comercio De Informatica Ltda (Nagem) - Shopping Metropole - LOJA",2,410000000000000,"Shopping Metropole","C I L Comercio De Informatica Ltda (Nagem)","C","SP","S�o Bernardo","Centro ","Pra�a Samuel Sabatini"," 200 - Loja 224 E 225 "," -"," -"," -",,,,,
"C I L Comercio De Informatica Ltda (Nagem) - Shopping Patio Paulista - LOJA ",2,410000000000000,"Shopping Patio Paulista","C I L Comercio De Informatica Ltda (Nagem)","B","SP","S�o Paulo","Bela Vista ","R Treze De Maio"," 1947 - piso paulista"," -"," -"," -",,,,,
"C I L Comercio De Informatica Ltda (Nagem) - Shopping Plaza Sul - LOJA",2,410000000000000,"Shopping Plaza Sul","C I L Comercio De Informatica Ltda (Nagem)","B","SP","S�o Paulo","Jardim Saude ","Pra�a Leonor Kaupa"," 100 - Loja 181 Piso Imigrantes"," -"," -"," -",,,,,
"C I L Comercio De Informatica Ltda (Nagem) - Shopping Premio - LOJA",2,410000000000000,"Shopping Premio","C I L Comercio De Informatica Ltda (Nagem)","C","SE","Nossa Senhorado Socorro","Conjunto Marcos Freire I ","Av Coletora , A Loja 71 E 72  S/N
"," -"," -"," -",,,,,,
"C I L Comercio De Informatica Ltda (Nagem) - Shopping Recife - KIOSQUE",2,410000000000000,"Shopping Recife","C I L Comercio De Informatica Ltda (Nagem)","B","PE","Recife","Boa Viagem","Shopping Recife"," R. Padre Carapuceiro",777," -"," -"," -",,,,
"C I L Comercio De Informatica Ltda (Nagem) - Shopping Recife - KIOSQUE",2,410000000000000,"Shopping Recife","C I L Comercio De Informatica Ltda (Nagem)","C","PE","Recife","Boa Viagem","Shopping Recife"," R. Padre Carapuceiro",777," -"," -"," -",,,,
"C I L Comercio De Informatica Ltda (Nagem) - Shopping Rio Mar Aracaju - KIOSQUE",2,410000000000000,"Shopping Rio Mar Aracaju","C I L Comercio De Informatica Ltda (Nagem)","C","SE","Aracaju","Coroa Do Meio ","Av Luiz Lua Gonzaga,400 - Quiosq: Q206; Cep: 49035-500 - Coroa Do Meio - Aracaju(Se)"," -"," -"," -",,,,,,
"C I L Comercio De Informatica Ltda (Nagem) - Shopping Rio Mar Fortaleza - LOJA",2,410000000000000,"Shopping Rio Mar Fortaleza","C I L Comercio De Informatica Ltda (Nagem)","C","CE","Fortaleza","Papicu","R Lauro Nogueira, 1355 : Luc 1140; "," -"," -"," -",,,,,,
"C I L Comercio De Informatica Ltda (Nagem) - Shopping RioMar Recife - LOJA",2,410000000000000,"Shopping RioMar Recife","C I L Comercio De Informatica Ltda (Nagem)","B","PE","Recife","Pina ","Av. Rep�blica Do L�bano"," 251 - Loja 1141"," Sc 109 Do Piso L1 - Pina -  Recife (Pe) - Cep: 51110-160"," -"," -"," -",,,,
"C I L Comercio De Informatica Ltda (Nagem) - Shopping SP Market - LOJA",2,410000000000000,"Shopping SP Market","C I L Comercio De Informatica Ltda (Nagem)","C","SP","S�o Paulo","Socorro ","Av Das Nacoes Unidas"," 22.540 - Loja A6-23 Shopping Sp Market Center Cep: 04795-000 - Socorro - Sp"," -"," -"," -",,,,,
"C I L Comercio De Informatica Ltda (Nagem) - Shopping Super Osasco  - KIOSQUE",2,410000000000000,"Shopping Super Osasco ","C I L Comercio De Informatica Ltda (Nagem)","C","SP ","Osasco","Industrial Autonomistas","�Avenida dos Autonomistas",1768," -"," -"," -",,,,,
"C I L Comercio De Informatica Ltda (Nagem) - Shopping Uni�o de Osasco - LOJA",2,410000000000000,"Shopping Uni�o de Osasco","C I L Comercio De Informatica Ltda (Nagem)","B","SP","Osasco","Vila Yara ","Av Dos Autonomistas"," 1400 Arco 305 "," -"," -"," -",,,,,
"C I L Comercio De Informatica Ltda (Nagem) - Tacaruna - LOJA",2,410000000000000,"Tacaruna","C I L Comercio De Informatica Ltda (Nagem)","C","PE","Recife","Santo Amaro ","AV GOVERNADOR AGAMENON MAGALHAES S/N, 153 LUC 47 ; : 1 PAVIMENTO; "," -"," -"," -",,,,,,
"Cs Sao Paulo Comercio De Eletronicos Ltda  - Center Shopping Uberlandia - LOJA",1,840000000000000,"Center Shopping Uberlandia","Cs Sao Paulo Comercio De Eletronicos Ltda ","C","MG","Uberlandia","Tibery ","Av Joao Naves De Avila"," 1331 - Loja: 1214 - Cep: 38405-140 Tibery Uberlandia Mg"," -"," -"," -",,,,,
"Cs Sao Paulo Comercio De Eletronicos Ltda  - Shopping Center 3 - LOJA",1,840000000000000,"Shopping Center 3","Cs Sao Paulo Comercio De Eletronicos Ltda ","C","SP","S�o Paulo","Bela Vista ","Av Paulista 2064 - Loja: Luc A-41 B"," -"," -"," -",,,,,,
"Cs Sao Paulo Comercio De Eletronicos Ltda  - Shopping Frei Caneca - LOJA",1,840000000000000,"Shopping Frei Caneca","Cs Sao Paulo Comercio De Eletronicos Ltda ","C","SP","S�o Paulo","Consolacao ","Rua Frei Caneca"," 569 - Loja 310 "," -"," -"," -",,,,,
"Cs Sao Paulo Comercio De Eletronicos Ltda  - Shopping Metro Itaquera - LOJA",1,840000000000000,"Shopping Metro Itaquera","Cs Sao Paulo Comercio De Eletronicos Ltda ","B","SP","S�o Paulo","Vila Campanela ","Av Jose Pinheiro Borges, S/N,  Espa�o Comercpial 158; Vila Campanela, S�o Paulo-Sp"," -"," -"," -",,,,,,
"Cs Sao Paulo Comercio De Eletronicos Ltda  - Shopping Penha - LOJA",1,840000000000000,"Shopping Penha","Cs Sao Paulo Comercio De Eletronicos Ltda ","C","SP","S�o Paulo","Penha De Franca ","R Doutor Joao Ribeiro 304 : Espaco De Uso Com.; : Euc N 2108/11; : Piso Antonio Lobo; 
"," -"," -"," -",,,,,,
"Cs Sao Paulo Comercio De Eletronicos Ltda  - Shopping Tabo�o - LOJA",1,840000000000000,"Shopping Tabo�o","Cs Sao Paulo Comercio De Eletronicos Ltda ","C","SP","Tabo�o da Serra","Cidade Intercap","Rodovia R�gis Bittencourt",271,"5 loja 51"," -"," -"," -",,,,
"Cs Sao Paulo Comercio De Eletronicos Ltda  - Uberaba Shopping - LOJA",1,840000000000000,"Uberaba Shopping","Cs Sao Paulo Comercio De Eletronicos Ltda ","C","MG","Uberaba ","Sao Benedito ","Av Santa Beatriz Da Silva, 1501 : Suc 256; Cep: 38020-433 Sao Benedito Uberaba Mg"," -"," -"," -",,,,,,
"Esb Telefones Ltda - Salvador Norte Shopping - LOJA",6,6000000000000,"Salvador Norte Shopping","Esb Telefones Ltda","B","BA","Salvador","Sao Cristovao","Rod Ba-526"," 305 - Salvador Norte Shopping Loja 2004 2 Piso - Cep: 41510-000  - Sao Cristovao - Salvador (Ba)"," -"," -"," -",,,,,
"Esb Telefones Ltda - Salvador Shopping - LOJA",6,6000000000000,"Salvador Shopping","Esb Telefones Ltda","A","BA","Salvador","Caminho Das Arvores ","Av. Tancredo Neves","  3133 - Caminho Das �rvore - Loja 1084 - Salvador (Ba) - Cep: 41820-021"," -"," -"," -",,,,,
"Esb Telefones Ltda - Shopping Barra Salvador - LOJA",6,6000000000000,"Shopping Barra Salvador","Esb Telefones Ltda","B","BA","Salvador","Chame-Chame ","Av Centenario"," 2992 - Loja 149 A L 1 Shopping Barra - Cep: 40155-150 - Chame-Chame - Salvador - Sp"," -"," -"," -",,,,,
"Esb Telefones Ltda - Shopping Bela Vista - KIOSQUE",6,6000000000000,"Shopping Bela Vista","Esb Telefones Ltda","C","BA","Salvador","Horto Bela Vista ","Al Euvaldo Luz"," 92 Quiosque Q19","1 Piso L1 "," -"," -"," -",,,,
"Esb Telefones Ltda - Shopping da Bahia Piso 1 - LOJA",6,6000000000000,"Shopping da Bahia Piso 1","Esb Telefones Ltda","C","BA","Salvador","Caminho Das Arvores ","Avenida Tancredoneves"," 148 Loja09 E 10 Quadrab"," -"," -"," -",,,,,
"Esb Telefones Ltda - Shopping da Bahia Piso 3 - LOJA",6,6000000000000,"Shopping da Bahia Piso 3","Esb Telefones Ltda","A","BA","Salvador","Caminho Das Arvores ","Av.Tancredo Neves N� 148"," Loja 1 A 3"," 3� Piso"," Quadra X Caminho Das Arvores"," Cep 41820-908"," Salvador/Ba."," -"," -"," -",
"Esb Telefones Ltda - Shopping Lapa - KIOSQUE",6,6000000000000,"Shopping Lapa","Esb Telefones Ltda","C","BA","Salvador","Caminho Das Arvores ","Av Tancredo Neves, 148 Loja 09 E 10 Quadrab Shopping Iguatemi 
"," -"," -"," -",,,,,,
"Esb Telefones Ltda - Shopping Paralela - LOJA",6,6000000000000,"Shopping Paralela","Esb Telefones Ltda","B","BA","Salvador","Paralela ","Av Luiz Viana Filho"," 8544 - Quadra E"," Loja 106"," 1� Piso - Cep: 41701-005 Paralela - Salvador (Ba)"," -"," -"," -",,,
"Infostore Computadores Da Amazonia Ltda - Amazonas Shopping - LOJA",2,34000000000000,"Amazonas Shopping","Infostore Computadores Da Amazonia Ltda","B","AM","Manaus","Parque Dez De Novembro","Av. Djalma Batista"," 482 -  Lj. 143 - 1� Piso - Flores - Manaus (Am) - Cep: 69050-010"," -"," -"," -",,,,,
"Infostore Computadores Da Amazonia Ltda - Boulevard Shopping B�lem - KIOSQUE",2,34000000000000,"Boulevard Shopping B�lem","Infostore Computadores Da Amazonia Ltda","C","PA","Bel�m","Reduto ","Av: Visconde de Souza Franco"," 776 - Complemento - Quiosque -113"," -Reduto- B�lem/PA - Cep: 66.053-000"," -"," -"," -",,,,
"Infostore Computadores Da Amazonia Ltda - Boulevard Shopping Belem - LOJA",2,34000000000000,"Boulevard Shopping Belem","Infostore Computadores Da Amazonia Ltda","A","PA","Bel�m","Reduto ","Av. Visconde De Souza Franco"," 776 Lj. 110 - Reduto - Bel�m (Pa) - Cep: 66053-000"," -"," -"," -",,,,,
"Infostore Computadores Da Amazonia Ltda - Manauara Shopping - LOJA",2,34000000000000,"Manauara Shopping","Infostore Computadores Da Amazonia Ltda","A","AM","Manaus","Adrianopolis ","Av Mario Ypiranga 1300 Loja 67/68  1� Piso Manauara Shop - Cep: 69057-002 Adrianopolis - Manaus (Am)"," -"," -"," -",,,,,,
"Infostore Computadores Da Amazonia Ltda - Parque Shopping Belem - LOJA",2,34000000000000,"Parque Shopping Belem","Infostore Computadores Da Amazonia Ltda","C","PA","Bel�m","Parque Verde ","Rod. Augusto Montenegro, 4300 Loja 1027/1028 1�Piso; Parque Verde - Bel�m - Pa "," -"," -"," -",,,,,,
"Infostore Computadores Da Amazonia Ltda - Partage Shopping Parauapebas - LOJA",2,34000000000000,"Partage Shopping Parauapebas","Infostore Computadores Da Amazonia Ltda","C","PA","Parauapebas","NUCLEO RES. E DE SERV. CARAJAS�","ROD PA 275 KM 61,6 LOTE 01A, LOJA: 44/45 ; : PARTAGE SHOPPING ; PARAUAPEBAS - QUADRA S/N; "," -"," -"," -",,,,,,
"Infostore Computadores Da Amazonia Ltda - Porto Velho Shopping - LOJA",2,34000000000000,"Porto Velho Shopping","Infostore Computadores Da Amazonia Ltda","B","RO","Porto Velho","Flodoaldo Pontes Pinto ","Av Rio Madeira"," 3288 - Loja 230/231 2 Piso Porto Velho Shopping - Cep: 76820-408 - Flodoaldo Pontes Pinto - Porto Velho - Ro"," -"," -"," -",,,,,
"Infostore Computadores Da Amazonia Ltda - Shopping Patio Belem - LOJA",2,34000000000000,"Shopping Patio Belem","Infostore Computadores Da Amazonia Ltda","B","PA","Bel�m","Batista Campos ","Tv Padre Eutiquio"," 1078 Loja 120 1� Piso - Shopping P�tio Bel�m Cep 66023-710 Batista Campos"," -"," -"," -",,,,,
"Infostore Computadores Da Amazonia Ltda - Shopping Patio Maraba - LOJA",2,34000000000000,"Shopping Patio Maraba","Infostore Computadores Da Amazonia Ltda","B","PA","Marab�","Nova Maraba ","Q Quadra 15 Folha 30 Loe 10 S/N - Loja 248/249 2 Piso Shopping Center Patio Maraba - Cep: 68507-445 - Nova Maraba - Maraba (Pa)"," -"," -"," -",,,,,,
"Infostore Computadores Da Amazonia Ltda - Shopping Ponta Negra - LOJA",2,34000000000000,"Shopping Ponta Negra","Infostore Computadores Da Amazonia Ltda","C","AM","Manaus","Ponta Negra ","Av Cel Teixeira"," 5705 - Loja 68 1 Piso Shopping Ponta Negra - Cep: 69037-000 - Ponta Negra - Manaus (Am)"," -"," -"," -",,,,,
"Infostore Computadores Da Amazonia Ltda - Sumauma Park Shopping  - LOJA",2,34000000000000,"Sumauma Park Shopping ","Infostore Computadores Da Amazonia Ltda","C","AM","Manaus","Cidade Nova ","Av. Noel Nutel  N� 1762 PISO ARARA"," LOJAS 2077","2078). "," -"," -"," -",,,,
"Infostore Computadores Da Amazonia Ltda - Via Verde Shopping - LOJA",2,34000000000000,"Via Verde Shopping","Infostore Computadores Da Amazonia Ltda","B","AC","Rio Branco","Floresta Sul ","Est Da Floresta"," 2320 - Loja 20/21/22 1 Piso Do Via Verde Shopping- Cep: 69912-900 - Floresta Sul- Rio Branco (Ac)"," -"," -"," -",,,,,
"Jufap Administracao E Participacao - Boulevard Londrina  - KIOSQUE",8,120000000000000,"Boulevard Londrina ","Jufap Administracao E Participacao","C","PR","Londrina","Helena ","Av. Theodoro Victorelli"," 150 - Quiosque MIK-714"," -"," -"," -",,,,,
"Jufap Administracao E Participacao - Maring� Park Shopping - KIOSQUE",8,120000000000000,"Maring� Park Shopping","Jufap Administracao E Participacao","C","PR","Maring�","Helena ","Av. S�o Paulo"," 1099 � Quiosque Q130 � 1� Piso"," -"," -"," -",,,,,
